#date|instrument|open|max|min|last_price|osc
2012-02-06|VALE5|43.67|43.95|43.53|43.90|0.16
2012-02-06|OGXP3|17.18|17.50|17.13|17.32|0.11
2012-02-06|ITUB4|35.65|36.03|35.41|35.97|0.36
2012-02-06|BVMF3|11.79|11.90|11.73|11.87|0.25
2012-02-06|BBDC4|31.56|31.78|31.39|31.70|-0.16
2012-02-06|BBAS3|27.11|27.28|26.86|27.05|-0.92
2012-02-06|GGBR4|18.09|18.19|17.94|18.18|0.11
2012-02-06|PETR3|26.84|27.15|26.60|27.06|0.74
2012-02-06|VALE3|45.67|45.95|45.50|45.90|0.07
2012-02-06|PDGR3|7.78|7.89|7.71|7.82|0.26
2012-02-06|USIM5|12.05|12.09|11.84|11.98|-0.17
2012-02-06|ITSA4|11.64|11.75|11.61|11.75|0.17
2012-02-06|CYRE3|17.65|17.78|17.31|17.65|0.45
2012-02-06|MRVE3|14.27|14.59|14.17|14.48|1.40
2012-02-06|GFSA3|5.13|5.26|5.03|5.14|0.59
2012-02-06|CSNA3|18.46|18.62|18.35|18.55|-0.54
2012-02-06|HYPE3|11.48|11.48|11.05|11.20|-1.75
2012-02-06|BRFS3|34.76|34.85|34.07|34.10|-1.61
2012-02-06|CIEL3|54.66|55.25|53.31|53.98|-1.82
2012-02-06|AMBV4|65.34|65.62|64.15|64.70|-0.98
2012-02-06|RDCD3|32.09|32.40|31.52|32.03|-0.22
2012-02-06|MMXM3|8.63|8.74|8.54|8.71|0.93
2012-02-06|RSID3|10.80|10.80|10.50|10.54|-2.32
2012-02-06|LREN3|60.83|61.01|60.11|60.97|0.23
2012-02-06|SANB11|17.39|17.54|17.08|17.23|-1.37
2012-02-06|LAME4|17.02|17.36|17.02|17.27|0.99
2012-02-06|TIMP3|9.53|9.54|9.29|9.51|-0.21
2012-02-06|NATU3|39.99|40.15|39.11|39.39|-0.88
2012-02-06|CMIG4|35.25|35.43|34.82|35.40|0.42
2012-02-06|PCAR4|74.61|74.62|73.38|73.92|-0.98
2012-02-06|ALLL3|10.32|10.39|10.18|10.28|-0.39
2012-02-06|FIBR3|15.20|15.56|14.95|15.36|1.19
2012-02-06|GOAU4|22.72|22.93|22.36|22.74|-0.44
2012-02-06|JBSS3|6.55|6.65|6.48|6.65|0.76
2012-02-06|BRML3|20.60|20.63|20.25|20.34|-1.31
2012-02-06|CCRO3|12.80|13.26|12.80|13.00|1.72
2012-02-06|GOLL4|13.02|13.02|12.64|12.68|-2.69
2012-02-06|CSAN3|28.86|28.90|28.50|28.90|0.17
2012-02-06|BISA3|6.70|6.74|6.54|6.65|-0.75
2012-02-06|ELPL4|36.71|36.71|36.30|36.50|-0.57
2012-02-06|MRFG3|8.18|8.23|8.09|8.14|-0.73
2012-02-06|TNLP4|17.05|17.19|16.86|16.98|-0.58
2012-02-06|BRKM5|15.79|15.79|15.53|15.65|-0.63
2012-02-06|ELET3|17.60|17.81|17.57|17.75|0.62
2012-02-06|CPLE6|39.72|40.28|39.42|40.28|0.70
2012-02-06|HGTX3|41.89|43.40|41.89|42.15|-0.24
2012-02-06|ELET6|25.05|25.50|25.05|25.44|1.23
2012-02-06|LIGT3|26.55|26.60|26.13|26.32|-0.87
2012-02-06|CESP6|33.33|33.38|32.45|33.36|0.06
2012-02-06|EMBR3|12.06|12.31|11.97|12.20|1.08
2012-02-06|KLBN4|7.74|7.81|7.47|7.62|-1.80
2012-02-06|LLXL3|3.68|3.74|3.67|3.71|0.82
2012-02-06|DTEX3|10.33|10.33|9.96|10.06|-2.52
2012-02-06|UGPA3|36.39|36.52|35.88|36.18|-0.60
2012-02-06|CRUZ3|23.55|23.62|23.21|23.36|-1.60
2012-02-06|TAMM4|38.50|38.69|37.84|37.94|-1.71
2012-02-06|BTOW3|10.66|10.68|10.45|10.59|-1.12
2012-02-06|USIM3|16.86|16.88|16.69|16.74|-0.95
2012-02-06|CPFE3|25.43|26.00|25.21|25.90|1.17
2012-02-06|BRTO4|11.14|11.26|11.00|11.04|-2.04
2012-02-06|SBSP3|57.95|58.73|57.63|58.34|0.10
2012-02-06|TNLP3|20.30|20.45|20.18|20.20|-0.69
2012-02-06|TRPL4|53.41|53.74|52.44|52.61|-1.66
2012-02-06|TMAR5|42.99|42.99|42.28|42.42|-1.12
2012-02-06|PETR4|24.49|24.82|24.40|24.75|0.57
2012-02-06|RPMG3|1.10|1.15|1.08|1.12|1.82
2012-02-06|EUCA4|7.17|7.17|7.01|7.01|-1.27
2012-02-06|AGEN11|0.37|0.38|0.36|0.36|-2.70
2012-02-06|OGXP3|17.18|17.50|17.13|17.32|0.11
2012-02-06|MILK11|0.43|0.47|0.42|0.45|4.65
2012-02-06|SULA11|18.06|18.16|17.90|17.97|-1.26
2012-02-06|IDNT3|2.82|2.84|2.79|2.79|-2.11
2012-02-06|AMAR3|21.13|21.94|20.82|21.73|2.69
2012-02-06|AMIL3|18.22|18.22|17.89|18.05|-1.26
2012-02-06|FRAS4|3.04|3.04|3.01|3.01|-1.95
2012-02-06|BTTL4|1.63|1.67|1.63|1.64|-1.20
2012-02-06|VLID3|23.23|23.34|22.97|23.03|0.17
2012-02-07|VALE5|43.70|44.12|43.31|44.03|0.25
2012-02-07|OGXP3|17.20|17.48|17.16|17.46|1.16
2012-02-07|ITUB4|35.79|36.44|35.35|36.30|0.67
2012-02-07|BVMF3|11.79|11.97|11.75|11.95|0.93
2012-02-07|BBDC4|31.60|31.90|31.33|31.81|0.19
2012-02-07|BBAS3|26.90|27.33|26.89|27.33|0.66
2012-02-07|GGBR4|18.05|18.43|18.00|18.30|0.55
